Manuscript,coteString,
http://rdfh.ch/0112/_WSglT7mTwmo5YL2ujvMcA,MS 1 H1/6d,
http://rdfh.ch/0112/uVV_u4YgS0O0ZUxB60OGvA,COTE MANQUANTE,
http://rdfh.ch/0112/w2k1GSVnQ62NW3kFMgiH0Q,MS 1 H1/4a,
http://rdfh.ch/0112/tBlo3elER_izlCbb4T5pXw,MS 6 G5/5a,
http://rdfh.ch/0112/LFCX7pmSR1mZUfocT-ak-Q,CG 133,
http://rdfh.ch/0112/nQ36h9lQQuiA_kct7MWqRg,CG 151,
http://rdfh.ch/0112/ANr2GTSdTLSzTujLDvoo8Q,MS 6 E1/30a,
http://rdfh.ch/0112/mTN60E-tQ46ZxGE10Kqbww,MS 4 B/15a,
http://rdfh.ch/0112/6JCQ4oDlS_ONt8HQsHnWdQ,MS 4 C/4a,
http://rdfh.ch/0112/XyA1lJ1qS5asA0Ervd8KXQ,MS 4 C/14a,
http://rdfh.ch/0112/W0RxsVhMTOWuD4XImnSSAQ,MS 4 C/14a,
http://rdfh.ch/0112/0TOQdDJrRBm2BOuU8ivOTA,MS 4 C/14a,
http://rdfh.ch/0112/uSVtF5-1SKidKGth41xuUQ,MS 4 C/22a,
http://rdfh.ch/0112/lVl9Pd50TKGhsKlEOYSrng,MS 2 C/16a,
http://rdfh.ch/0112/TYFybyHRQWKGQDnC2yxClg,MS 4 D/6a,
http://rdfh.ch/0112/BN87uctCRTuodpQwHKf7AA,MS 4 D/6a,
http://rdfh.ch/0112/LBQUpJ7DQlyZeNf_8lw87w,MS 2 E/10a,
http://rdfh.ch/0112/oTWPpL6gShSkwrhPsflomQ,MS 4 D/22a,
http://rdfh.ch/0112/UWfycCshTPayHu_jhn0nNg,MS 4 D/22a,
http://rdfh.ch/0112/MAtEjeB8TWKYilYbqmV8Sw,COTE MANQUANTE,
http://rdfh.ch/0112/P7VpxSGaRrykToZb_OWk2Q,COTE MANQUANTE,
http://rdfh.ch/0112/XiyM1UPVQF-IVJRrh9eLDA,MS 5 A/20a,
http://rdfh.ch/0112/pF8tyfQtS2a3wt2i7cDeuA,MS 4 F/33a,
http://rdfh.ch/0112/glJJSsPqT4qVvLnQh5HMxA,CG 293,
http://rdfh.ch/0112/UDUxBp3ZRsC69dbFqGz3PQ,MS 4 F/35a,
http://rdfh.ch/0112/FH8d2XUzSmmfCMp4M0psUA,MS 4 F/32a,
http://rdfh.ch/0112/RAVqa_KCQBGjaILCJucQcQ,MS 4 E/11a,
http://rdfh.ch/0112/7yO7SjYaQhGwn4xaO-a4Xw,BIO 54,
http://rdfh.ch/0112/HU71ZppYTHuyhm31YRChnA,MS 4 B/17a,
http://rdfh.ch/0112/OFcm6ypoQUiD393Vp-Ds5g,MS 4 B/12a,
http://rdfh.ch/0112/14FgwZCaRfaifGCcLl4gOA,MS 4 B/11a,
http://rdfh.ch/0112/6QdBiym0T-uxy1adV0IfBA,MS 4 B/5a,
http://rdfh.ch/0112/ecWBwzNCR_Oqh2zrI0CE0Q,MS 4 A/7a,
http://rdfh.ch/0112/iRuJeMu5TdSS_G9WiMLcgQ,MS 4 A/7a,
http://rdfh.ch/0112/k_nZaLvGTGWnyDs0zp3rQQ,MS 2 F/1a,
