pub,pubLabel
http://rdfh.ch/0112/Cmv7mfvTTlecXLyGhwIbhQ,pub_Roud Gustave_Écrits II_1950-10-15
http://rdfh.ch/0112/fKUjvoFvQtOFKMs0Jhlkfw,pub_Roud Gustave_Écrits III_1978
http://rdfh.ch/0112/BVuwL5z4QwmyWM9pHGkh8Q,pub_Roud Gustave_Deux poëmes du temps de la moisson
http://rdfh.ch/0112/MSofPXEmTXWfL5xweBMzjg,pub_Roud Gustave_Entretiens_2017
http://rdfh.ch/0112/rhNYWbgLSAOfYDMj5yDlXQ,pub_Roud Gustave_Étoile_1952-10
http://rdfh.ch/0112/lj_nowgdQF-RK_Tf8lf1Xw,pub_Roud Gustave_Fernand contre le ciel_1958-03-16
http://rdfh.ch/0112/5qcC8SJTSx6QX5sLI2l_0Q,pub_Roud Gustave_Lectures_1988
http://rdfh.ch/0112/npU6_4X5Ti62qwmNzGvldg,pub_Roud Gustave_Salut à quelques peintres_1999
http://rdfh.ch/0112/ltiZBNNYTpuiK0r-I-d69Q,pub_Roud Gustave_Vues sur Rimbaud_2010
http://rdfh.ch/0112/9KkV4gN2Sqi0DkrHzFuYIA,"pub_Roud Gustave_Écrit à Carrouge, précédé de Calendrier_2001"
http://rdfh.ch/0112/oegsYsuhRyut2j_vDHeagA,"pub_Roud Gustave, Béguin Albert_Lettres sur le romantisme allemand_1974"
http://rdfh.ch/0112/d7xa60KtToy9uOjMby8A5w,"pub_Roud Gustave, Chappaz Maurice_Correspondance 1939-1976_1993"
http://rdfh.ch/0112/fFi3Z-CqSiWAhBFJD9vWag,"pub_Roud Gustave, Chessex Jacques_Correspondance 1953-1976_2011"
http://rdfh.ch/0112/uRD2U3IrS6-fkDd9pkUYYQ,"pub_Roud Gustave, Jaccottet Philippe_Correspondance 1942-1976_2002"
http://rdfh.ch/0112/P-SG5f2HTjOUfXPKbGvmKQ,"pub_Roud Gustave, Martin Vio_Correspondance littéraire et amoureuse_1994"
http://rdfh.ch/0112/Fb0gIqR5QoOqUqIEm-rMCA,"pub_Roud Gustave, Nicole Georges_Correspondance 1920-1959_2009"
http://rdfh.ch/0112/9h0IX5d3QOWDufGRh1l2eQ,"pub_Roud Gustave, Palézieux Gérard de_Halte en juin_2001"
http://rdfh.ch/0112/M5STmjaVQPO5EKiPfj3CpA,"pub_Roud Gustave, Palézieux Gérard de_Image sans emploi_2002"
http://rdfh.ch/0112/5aSSdAs4QTmLsQnYKOwdSA,"pub_Roud Gustave, Simond Daniel_Avec Ramuz_1967"
http://rdfh.ch/0112/dhZWTY2BQe6Y09hoQqK4EA,pub_Salem Gilbert_Gustave Roud_1986
http://rdfh.ch/0112/Zwq7so30Q52F08dNB6bBNQ,pub_Santschi Madeleine_Gustave Roud: Petits riens_1988
http://rdfh.ch/0112/V8v1RLYBShyAvU0BYLS3_w,"pub_Schnyder Peter_Les Chemins de Gustave Roud, Actes du colloque international organisé par le Centre de recherche sur l'Europe littéraire_2004"
http://rdfh.ch/0112/nPSvKyswSwmA26j7_YishA,"pub_Schuh Gotthard_Îles des dieux. Java, Sumatra, Bali_1954"
http://rdfh.ch/0112/MRJVTpi7SESNfSRSURF5fg,pub_Titus-Carmel Gérard_Gustave Roud: une solitude dans les saisons_2005
http://rdfh.ch/0112/7YYBzA7qQnW3_wzgeJAi2g,pub_Trakl Georg_Vingt-quatre poèmes_1978
http://rdfh.ch/0112/GBIUsHfVTFaIl1dxu_aJWg,"pub_Vincent Gilbert_Gustave Roud, Point de vue d'un homme discret_1981"
http://rdfh.ch/0112/rvQPOJXdSemdR4ArvaVnwQ,pub_Weber-Perret Myrian_Ecrivains romands 1900-1950_1951
http://rdfh.ch/0112/TG2iIQ0YSMW8OFTab_JQxQ,pub_Le romantisme allemand_Les cahiers du sud_1937
http://rdfh.ch/0112/zGshA2KbSUqTa7bQekkfnw,"pub_Oeschger Johannes_[Calendriers des années 1960, 1961, 1962 et 1971]_J.R. Geigy"
http://rdfh.ch/0112/8dPZBZnUT_CcT9rEIVXqgg,pub_Schuh Gotthard_Instants volés instants donnés_1956
http://rdfh.ch/0112/-NrOEbYlTZeBRt3rJZwUQQ,pub_Wyrsch Jakob_États dépressifs_Acta psychosomatica_1958-12
http://rdfh.ch/0112/a7ahy40HS-e-wTz6-Lss7A,"pub_Roud Gustave_Moissons_l’Almanach des champs, 1er mai-1er novembre 1930_1930"
http://rdfh.ch/0112/wMmv6FGkSl6TcktgAWuo5Q,"pub_Roud Gustave_""Bain d'un faucheur"" et ""Extrême automne""_Anthologie de la poésie française, le XXe siècle_1967"
http://rdfh.ch/0112/hV7sUZH7T3i_6Ep3GxbfNw,"pub_Roud Gustave_[Voies étranges du souvenir…]_C. F. Ramuz, [Questions]_1967"
http://rdfh.ch/0112/tluze2qMQEO6rRiwyuNuwQ,"pub_Roud Gustave_La Présence perdue_C. F. Ramuz, Chant de Pâques_1951"
http://rdfh.ch/0112/rCwUIq1FTimBlDx57mJULQ,"pub_Roud Gustave_Petite lettre au maître ymagier Max Roth_C. F. Ramuz, Le Passage du poète, un carré présenté par Gustave Roud_1960"
http://rdfh.ch/0112/0YjP0OkJSKOoZ0dttLDFjQ,pub_Boulanger Mousse_Promenade avec Gustave Roud_Calligrammes_1987
http://rdfh.ch/0112/BcH6JHuOT3KogEuedqI8zA,"pub_Roud Gustave_Croyez-moi, la poésie…_Camp de dessin. Expressions, Recherches_1969"
http://rdfh.ch/0112/EKIQhRCpRKSze00bHM_HJg,"pub_Roud Gustave_[Peut-être la brève présentation…]_Catherine Colomb, Œuvres_1968"
http://rdfh.ch/0112/CnomPqx2S7aBNDkaPNo-NQ,"pub_Roud Gustave_Préface [Peut-être la brève présentation…]_Catherine Colomb, Œuvres complètes_1993"
http://rdfh.ch/0112/fyf5GfsIQuK0AlBZ_DFyPA,pub_Roud Gustave_La petite gare_CFF. Pour un anniversaire (1847-1947)_1947
http://rdfh.ch/0112/3fwoCl67SeeXu4UkUlny2A,"pub_Roud Gustave_L'Aveuglement_Daniel Maggetti, Lectures conseillées, Une anthologie_2002"
http://rdfh.ch/0112/TevXH-2nRFum3wzx3-ycYQ,"pub_Roud Gustave_Labour ancien_De Ronsard à Breton, recueil d'essais, hommages à Marcel Raymond_1967-06"
http://rdfh.ch/0112/zqflqkoWTsmDU0g7kuCfwA,pub_Schwendimann Max A._Gustave Roud_Der Bund_1968-01-26
http://rdfh.ch/0112/L2q1hxgbQTKIc2b0e9Km2w,"pub_Roud Gustave_Petite lettre à Jean-David Lecoultre_Don Quichotte de la Manche, caballero andante. Carré réalisé d'après le carton de Jean-David Lecoultre et présenté par Gustave Roud_1959-12"
http://rdfh.ch/0112/68CfJfzMQYeQ_siCsrOY9w,"pub_Roud Gustave_[""Car, hélas ! la passion aveugle…""]_Exposition Jean Louis Clerc_1947-11"
http://rdfh.ch/0112/ZZ9ss5nWSpqFbC9-LkshBA,"pub_Roud Gustave_Préface_Félix Vallotton, Corbehaut_1970"
http://rdfh.ch/0112/fv5w-wbkQ5G2D9t5fWcGYg,pub_Hölderlin Friedrich_Grèce Âges de la vie_Lettres françaises_1967-05
http://rdfh.ch/0112/zisLNV5LRVOIqz4oYdpzYg,pub_Roud Gustave_Reconnaissance de dette_Galerie Paul Vallotton S.A. Lausanne _1973
http://rdfh.ch/0112/CVT01VvoQB2zjcu4bkgVZA,pub_Roud Gustave_Une toile un visage_Gaston Vaudou_1958-09-30
http://rdfh.ch/0112/r0QROaNoRimi25evt0EeiA,"pub_Roud Gustave_Bûcherons au travail dans le Jorat et La fenaison_Henri Rebeaud, Le Canton de Vaud_1952"
http://rdfh.ch/0112/HHbPZNR0QiWE9qsO1ksRrw,pub_Roud Gustave_Portraits de fleurs_Herbier des plantes suisses de Rosalie de Constant _1961
http://rdfh.ch/0112/76die0vgQkqlUdoiAUCTvQ,pub_Roud Gustave_Hommage_Hommage à C. F. Landry_1969
http://rdfh.ch/0112/v026xn1LS-OfzzcpQLpM9w,pub_Roud Gustave_Hommage_Hommage à C. F. Ramuz_1938
http://rdfh.ch/0112/OUftYHgfRheiszbDwGM9Dw,pub_Roud Gustave_Petit rappel amical d'une découverte_Hommage à Jaques Berger_1963
http://rdfh.ch/0112/O2yrWk8VTIW8leZbzCVJvg,pub_Roud Gustave_Mémoire_Inno-Reflets_1967
